Using device: cuda
Episode: 503/10000, time: 211, truncated: False, cumulative reward: -153.45885659929996
Episode: 508/10000, time: 278, truncated: False, cumulative reward: -113.42413474890012
Episode: 511/10000, time: 75, truncated: False, cumulative reward: -80.53050284568639
Episode: 512/10000, time: 203, truncated: False, cumulative reward: -166.73656198448506
Episode: 516/10000, time: 199, truncated: False, cumulative reward: -99.77848130934849
Episode: 525/10000, time: 223, truncated: False, cumulative reward: -75.23349254934334
Episode: 560/10000, time: 118, truncated: False, cumulative reward: -380.01374801231356
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 651/10000, time: 149, truncated: False, cumulative reward: -74.373641921887
Episode: 661/10000, time: 244, truncated: False, cumulative reward: -69.05890587606079
Episode: 662/10000, time: 167, truncated: False, cumulative reward: -87.41656026186874
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 749/10000, time: 180, truncated: False, cumulative reward: -110.01737492247074
Episode: 751/10000, time: 128, truncated: False, cumulative reward: -119.98627738531263
Episode: 756/10000, time: 139, truncated: False, cumulative reward: -193.62317356903617
Episode: 757/10000, time: 137, truncated: False, cumulative reward: -117.2306108510511
Episode: 758/10000, time: 102, truncated: False, cumulative reward: -183.29252931938646
Episode: 760/10000, time: 124, truncated: False, cumulative reward: -176.2020705848631
Episode: 761/10000, time: 139, truncated: False, cumulative reward: -150.6021227642113
Episode: 763/10000, time: 178, truncated: False, cumulative reward: -105.13901906597685
Episode: 764/10000, time: 189, truncated: False, cumulative reward: -126.72845615334214
Episode: 767/10000, time: 237, truncated: False, cumulative reward: -137.5110333670354
Episode: 769/10000, time: 209, truncated: False, cumulative reward: -133.3371630041339
Episode: 775/10000, time: 180, truncated: False, cumulative reward: -118.97664383015376
Episode: 778/10000, time: 187, truncated: False, cumulative reward: -115.37004191464466
Episode: 781/10000, time: 173, truncated: False, cumulative reward: -96.09780692906983
Episode: 789/10000, time: 99, truncated: False, cumulative reward: -137.31206437845208
Episode: 794/10000, time: 150, truncated: False, cumulative reward: -96.62846406198054
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 808/10000, time: 160, truncated: False, cumulative reward: -95.86636192530938
Episode: 829/10000, time: 259, truncated: False, cumulative reward: -85.45589704827275
Episode: 839/10000, time: 139, truncated: False, cumulative reward: -88.91346558862006
Episode: 850/10000, time: 137, truncated: False, cumulative reward: -115.9798257254914
Episode: 874/10000, time: 180, truncated: False, cumulative reward: -486.00934209957825
Episode: 888/10000, time: 169, truncated: False, cumulative reward: -124.86839870568647
Episode: 895/10000, time: 110, truncated: False, cumulative reward: -212.41789371261717
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 921/10000, time: 108, truncated: False, cumulative reward: -202.0165058458768
Episode: 953/10000, time: 203, truncated: False, cumulative reward: -149.00153485681446
Episode: 981/10000, time: 243, truncated: False, cumulative reward: -192.13059472329206
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1137/10000, time: 155, truncated: False, cumulative reward: -139.92797170601239
Episode: 1153/10000, time: 284, truncated: False, cumulative reward: -97.95406531606811
Episode: 1155/10000, time: 290, truncated: False, cumulative reward: -120.10713986637614
Episode: 1164/10000, time: 241, truncated: False, cumulative reward: -123.38121966137192
Episode: 1188/10000, time: 139, truncated: False, cumulative reward: -158.73580245291805
Episode: 1189/10000, time: 259, truncated: False, cumulative reward: -103.38397996084544
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 1201/10000, time: 166, truncated: False, cumulative reward: -122.81050955396168
Episode: 1207/10000, time: 162, truncated: False, cumulative reward: -86.2784819589444
Episode: 1208/10000, time: 214, truncated: False, cumulative reward: -107.17144920925544
Episode: 1211/10000, time: 180, truncated: False, cumulative reward: -101.48559606094278
Episode: 1212/10000, time: 253, truncated: False, cumulative reward: -125.96002604429982
Episode: 1223/10000, time: 242, truncated: False, cumulative reward: -126.81758740723149
Episode: 1224/10000, time: 255, truncated: False, cumulative reward: -148.71795285037263
Episode: 1227/10000, time: 275, truncated: False, cumulative reward: -143.8856713927837
Episode: 1229/10000, time: 119, truncated: False, cumulative reward: -202.26636618826728
Episode: 1240/10000, time: 226, truncated: False, cumulative reward: -94.55676705097636
Episode: 1243/10000, time: 117, truncated: False, cumulative reward: -178.96328330058924
